詞	頻次	碼（各式，短→長）
那麼我	1542	cprgjkq cijprttgjkxq
苦苦	1542	htohto
轉彎	1542	ibaiis ibtbaiiogs
輾轉	1542	ibkiba ibtrkibtba
恐怕是	1542	inwmjbby inqwmjbby inqwmjbbfy
說來	1542	ioltyy iovoltyy
大樹	1542	iytfa iytfova
小組賽	1542	mgmequv mgmuequhvv
聽聞	1542	newppe neetwppne
問世	1542	ppohl
土星	1542	tibjf
禽流感	1542	yigwilrw yixugwignlrw yixugwignlroxqw
薩達姆	1541	hpffvzlji hpixffvfzljoi
警校	1541	hsotix hsoxotivx
救命	1541	ikxaop ikqxaop
高品質	1541	iooooortv iouoooortrtv
少爺	1541	mjvxp mjvxnep
永遠都	1541	qkfozfp qkfojkzfp qkfojkzfjbp
儲戶	1541	yibqr yiofbqr
算計	1540	aahiot aadhiot
飯碗	1540	aexjoz aegrxjoquz
經貿	1540	gmigpv gmlligpdv
輔導班	1540	ibqvjaene ibtdqvjdzaene
一步到位	1540	itlmgnyiv itlmgfnyiv
交納	1540	ivxgmy ivxgmuy
攻擊性	1540	ixibjmjf ixibwnjmjf
種草	1540	jtfhbt jtjbfhbt
得出結論	1540	jyauwgmoioh jyauwgmfoioauh jybauwgmfoioauh
美院	1540	vekpql vekpqujl
分貝	1540	vpdv
沒少	1540	wxmj wsxmj
浮現	1540	wwiedl wwpiedjl
在歷史上	1540	xfrjloxjii xfrjtjloxjii
臥底	1539	ckyrcq ckyrcxq
孵化	1539	cqiyc cqnciyc
既不是	1539	egljqby egxljqby egxljqbfy
吉林省	1539	fottmji fottmjdi
重大的	1539	jbfiyja jbfiyjba
自嘲	1539	jdiotd jdiotbtd
取向	1539	nexjuo
回去了	1539	oofgp
免稅	1539	soljtl sojljtvol
想要的	1539	tdwijja tdwihljjba
南路	1539	tufoto tuvfotlxo
河道	1539	wojvz wojvjdz
發揮出	1538	axkutuw axkubtuw ajqsxkubtuw
增進	1538	fvbyiz fvvbyifz
放任	1538	isxyjf
效率高	1538	ivxigtioo ivxxigiktiouo
頹廢	1538	jtvrax jtjlvrajrx
清清楚楚	1538	wfdwfdttytty wfdwfdttfyttfy
在位	1538	xfyiv
總說	1537	gmwiol gmjowiol gmjowiovol
留個	1537	gptyo gpotyo gpotyoto
一起來	1537	ifztyy iftyztyy
一夜情	1537	iiyrmfd iiyarmfd
詩意	1537	ioaivw iofaivbw
呂后	1537	ojoro
國米	1537	oqvtr oqvtjr ooxqvtjr
屋企	1537	rgfytl
僅供	1537	yhfyhv yhofyhv
仙女	1537	ywlj
暢通	1536	bbjpuz bbsjpuhz
勝利的	1536	dvjjtnja dviyjjtnja dviyjjtnjba
嚮導	1536	gqovja gqegovjdza
觀測到	1536	holwdngn hooylwdvngn hooylwdvngfn
西路	1536	ihioto ihiotlxo
要記住	1536	ijiozyqe ihljiozyqe
計算器	1536	iotaahooo iotaadhookqo
旁白	1536	ivsjb ivuisjb
平的	1536	ivtja ivtjba
向導	1536	juovja juovjdza
往裏	1536	jyeik jyqeik jyqeibfjk
還不到	1536	mzjqgn miojzjqgfn
小鳥	1536	mjsm mjsem
業務部門	1536	nvrppjivppp nvvhrppjxjivoppp
呼氣	1536	ojtaqt ojvtaqvt
戶籍	1536	qraab qraaitb
所佔	1536	rrtyto
雞尾酒	1536	wgfrjlwhi wgkyfrjilwhi
海淀區	1536	wyiwqycoo wyoiwqufycooo
又名	1536	xao
倍數	1536	yiobqx yivobqljx
你別	1536	ymosn ysmosn
埋頭	1535	fbfiov fbfiovjv
天皇	1535	ixrjbe
天河	1535	ixrwoj
一無是處	1535	iymmbyrxn iymmbfyrxn
社長	1535	qmffik
有點多	1535	xdvoaa xdvfmtoaa
第一節	1534	aajiaap aasjiaaegp
韌性	1534	doqmjf dohpqmjf
坦白	1534	fbijb
貴公司	1534	qdvvgco
壓在	1534	rbfxf rbdkfxf
才被	1534	tjqkx tjqkrx
伯爵	1534	yjbwma yjbwmega
繁衍	1534	yomjyj yoixmjywij
選個	1534	zzzyo zzhvzyo zzhvzyoto
能到	1533	gcgn gdccgfn
網絡傳播	1533	gmlgmoybakjt gmuvlgmxoybgakjvtt
綻放	1533	gmyisx gmquyisx
這錢	1533	izyfq izyfvxq iozyfvxq
新華書店	1533	ivthhhefbrto ivtrthhhefbrto
天亮	1533	ixrion ixrioun
特大	1533	jhaiy jhfaiy
虛榮	1533	rhivyt rhivyvyt
點亮	1533	voion voioun vfmtoioun
爆破	1533	vykjox vybhkjorx
清淺	1533	wfdwxq wfdwxqxq
僅提供	1533	yhfkbyyhv yhofkbfyyhv
脖子上	1532	dtipijii dtupipijii
老孃	1532	fjcljk fjcljiok
老娘	1532	fjcljk fjcljqek
要交	1532	ijivx ihljivx
六大	1532	ijqiy
這兩家	1532	izmyyqk iozmyyqujk
一棵	1532	itbt
心理問題	1532	jlqebfppobfv jlqqebfppobfyjv
拖鞋	1532	kylhof kyplhotff
蠟燭	1532	oglvyg oglllvymsg
通訊員	1532	puziotodv puhzioztodv
市委書記	1532	qmjtjefbioz qmjtljefbioz
泡腳	1532	wszdvp wszdvyop
當即	1532	wutegp wuootegp
知己	1532	ykoz
既然如此	1531	egldmljotlc egxldmljotlc egxldkqmljotlc
幾步	1531	gqtlm ggjqqtlm
說明的是	1531	iolbdjaby iovolbdjbabfy
再過	1531	iufoz iufouoz
大叫	1531	iyon
不高興	1531	jqioofuv jqiouofuofv
握手	1531	krfjij krgfjij
跑題了	1531	otzbfvp otlszbfyjvp
願意去	1531	rjvivwfg rjbmvivbwfg
默默的	1531	vfqvfqja vfmkqvfmkqja vfmkqvfmkqjba
沼澤	1531	wpowmf wpowmevf
深厚的	1531	wutrbija wuvtrbpija wuvtrbpijba
但是不能	1531	ybibyjqgc ybibfyjqgdcc
催生	1531	ywfjhi ywyifjhi
乙肝	1531	zdf
創業板	1530	arnnvrtrx aronnvvhrtrx
這個傢伙	1530	izyoyqkyvy izyoyqujkyvy iozyotoyqujkyvy
武漢市	1530	itqwhyqm itlqwhoiyqm
我還能	1530	jkqmzgc jkxqmiojzgdcc
不注意	1530	jqwqeivw jqwqeivbw
微不足道	1530	jyxjqotyvz jywnxjqotyvz jywnxjqotyvjdz
播客	1530	kjtquo kjvttquxo
罵了	1530	msmp mshmp
負能量	1530	sdvgcbbf sdvgdccbbf
燒了	1530	vylp vyfflp
什麼樣子	1530	ytrgtkpi ytrttgtveqkpi
明珠	1529	bdejt
裝扮	1529	kfkkvp kfijkkvp
擔心的	1529	ksojlqja ksrvojlqqja ksrvojlqqjba
採訪中	1529	kwtiosq kwtioisq
欣喜	1529	rtyfoo rtsyfovo
急劇	1529	sewrjn sewrjkn
遵從	1529	vhzjy vhiazjy vhiazjyyyy
愛他	1529	wuxyl wuwxyl wuwxypl
是不需要	1528	byjqmmij bfyjqmiijmihlj
最快的	1528	bnxmcyja bnexmcyja bnexmcyjba
表決	1528	fjkwcy
聲線	1528	fregmk frnxegmjbk
擊敗了	1528	ibjdvxp ibwnjdvxp
一言難盡	1528	iiohfeti iiohfetmmi iiohoiyfetmmi
快速增長	1528	mcytozfvbfik mcytozfvvbfik
雪花	1528	miehyc miiehyc
戰亂	1528	ooqwpl oobtqwpugl
整潔	1528	tolwem toxflwepgm
前列	1528	vdnjan
並與	1528	vnvfsv vnvfsfv
演變成	1528	wqvioxrq wquuviogmxrq wquuviogmxrcxq
沒有錯	1528	wxxdyfb wxxdyfvhb wsxxdyfvhb
有天	1528	xdixr
無辜的	1528	ymmtofja ymmtoivfja ymmtoivfjba
篡改	1527	aagzx aadkgzx
幾隻	1527	gqyix gqyifx ggjqqyifx
萬輛	1527	hbgiby hbugibtmy
較量	1527	ibxbbf ibtixbbf
註冊碼	1527	ioeuhjom ioqeuhjoshm
辦案	1527	ivfqut ivxcfquljt
大有人在	1527	iyxdyxf
不放心	1527	jqisxjlq jqisxjlqq
按部就班	1527	kqjivpiqene kquljivopiqene kquljivopiomxqene
口岸	1527	owrf
屢屢	1527	rbjrbj rbqljrbqlj
派對	1527	wrkna wrknvvea
第十	1526	aajt aasjt
監察	1526	ckiqum ckamiqudzm
賭場	1526	dvbfbj dvfjbfbsj
弄懂	1526	ehmhf ehmhjbf
二選一	1526	iizzzi iizzhvzi
牛的	1526	jhja jhjba
小李子	1526	mtpipi
取景	1526	nexbim nexbiom
開張	1526	pphsfk pphsfik
愛護	1526	wuxiox wuwxiohyx
偶遇	1526	ybgbuz ybugbugz
人民日報	1526	yclxbfvx yclxbfvfpx
月中旬	1525	dqsb
退回	1525	ekzoo
能帶	1525	gcxhm gcxhlum gdccxhlum
大話	1525	iyioo iyiojto
我還會	1525	jkqmzab jkxqmiojzavb
心理素質	1525	jlqebffgmrtv jlqqebffgmrtrtv
抓着	1525	krqvei krqvejdi
只希望	1525	ovxxmile ovxxmilde
唐僧	1525	reoyvb reoyvvb
黑澤明	1525	vfmwmfbd vfmwmevfbd
流轉	1525	wiliba wignlibtba
有耐心	1525	xdjmajlq xdjmajlqq
在現代	1525	xfedlyxq xfedjlyxq
傳導	1525	ybavja ybgavjdza
侵入	1525	yexjq yeuxjq
你可	1525	ymioj ysmioj
何以	1525	yojlqy
比作	1524	ccyki
歐洲盃	1524	coywnnjqi coooywnnnjqmi
劉海	1524	gpnwyi gpvfnwyoi
斯大林	1524	hetiytt hevrtiytt
百搭	1524	ijbkho ijbkhao
這個結論	1524	izyogmoioh izyogmfoioauh iozyotogmfoioauh
收集了	1524	nxyitp nxyiftp
市場價格	1524	qmfbjyhvtxo qmfbsjyhdvtxo
木葉	1524	tjrhht tjrhhlt
任何時候	1524	yjfyojbank yjfyojbfancyk
飲水	1523	aeyk aegsyk
弄好	1523	ehli ehljpi
去年同期	1523	fgycjuohed fgycjuohevd
一票	1523	iihm iihem
一代宗師	1523	iyxqqumjbm iyxqquimjbm
很懶	1523	jkmtv jkmtopv jyekmtopv
不難看出	1523	jqhfjiuw jqhoiyfjijdiuw
拉攏	1523	kivkie kivkivde
打賞	1523	kjwuv kjwuodv
還有不少	1523	mzxdjqmj miojzxdjqmj
另一方	1523	ocjiis
尿液	1523	rkwir rkwiyar
盾牌	1523	rtikjt rtdikjbjt
黑馬	1523	vfmshm
油田	1523	wufot
嘉興	1522	foofuv fovcofuofv
要通過	1522	ijpuzoz ijpuhzoz ihljpuhzouoz
診療	1522	ioerkm ioyerkvbm
片面	1522	jtjjoi jtjjoni
圍城	1522	odhfrq odohfrcxq
勇敢的	1522	pujcnxja puhcjcnexja puhcjcnexjba
頒獎	1522	vpvkdq vpjdvkdakq
卻依然	1522	vypyikdm vyopyijkdm vyopyijkdkqm
偏激	1522	yrhwjx yruhwjbix
會場	1521	abfbj abfbsj avbfbsj
月收入	1521	dnxjq
與中國	1521	fsvqoq fsfvqoq fsfvqooxq
可以查看	1521	iojlqytbiji iojlqytbijijdi
就會覺得	1521	iqabfxljya iomxqavbfxxfljyba
順豐	1521	jnvjev jnjdvjeeuv
翻轉	1521	jviiba jvtoiibtba
押金	1521	kbjyfv
宣泄	1521	quiwhl qubiwhl
遞交	1521	rrzivx rrnzivx
本論壇	1521	tjiiohfii tjriioauhfiooi
出球	1521	uwekq
差很多	1521	veijkaa vejijkaa vejijyekaa
加血	1520	cjojmi
昏迷	1520	cxbvtz
正式開始	1520	fliiqpphljo fliiqpphljgo
太小了	1520	iamp
變焦	1520	ioxyim iogmxyifm
毛衣	1520	jilijk
很難找到	1520	jkhfkxqgn jyekhoiyfkxqgfn
我看見	1520	jkqjidjl jkxqjijdidjl
攝像	1520	kneysk kneneysojk
買了一個	1520	mdvpiyo mdvpiyoto
社會科學	1520	qmfabjttfi qmfabjtitfi qmfavbjtitfxxfi
廣發	1520	rhvax rhufvax rhufvajqsx
勞務	1520	vyjppj vyvyjppjxj
各界	1520	xootn xootvn
短缺	1520	ykvywy ykovywcy
暴利	1519	bhkjtn bhvkjtn
切換到	1519	fpkskgn fpksuvkgn fpksuvkgfn
牽制	1519	ighjin igujhjimn
交到	1519	ivxgn ivxgfn
齊達內	1519	iydfvzuy iypkdfvfzuy
物業管理	1519	jhjnvraabebf jhsjnvvhraaqubebf
不甘	1519	jqhi
後退	1519	jxekz jygxekz
從這	1519	jyiz jyyyyioz
拍下	1519	kjbf
好老師	1519	lifjcjbm ljpifjcjbm
四點	1519	mivo mivfmto
跨度	1519	otsrhx otlksrhx
定點	1519	quyvo qufyvo qufyvfmto
板凳	1519	trxajn trxajron
直到今天	1519	tuignajixr tueignajixr tueigfnajixr
農機	1519	uhktgq uhriktggjq
用電	1519	uhmil uhmiibl
有罪	1519	xdmee
日程	1518	bjte bjtoe
加權	1518	cjothf cjothoof
政黨	1518	flxwum flxwuovm
夢中	1518	hmaq hmuaq
藏着	1518	hrqvei hrckqvejdi
蘇菲	1518	hsthee hsotthee
太累了	1518	iaotmp iaotgmp
元錢	1518	ijlyfq ijlyfvxq
這部片子	1518	izivpjtjpi izivopjtjpi iozivopjtjpi
我們做	1518	jkqyppyx jkxqyppytox
稀飯	1518	jtmaex jtxxmaegrx
把車	1518	kdlibt
招聘信息	1518	kponesyiojdw kponeufsyiojdw
小車	1518	mibt
唔知	1518	odoyko
跑位	1518	otzyiv otlszyiv
剛來	1518	uvntyy uvwntyy
前女友	1518	vdnljxx
燃脂	1518	vymdcb vydkmdcb
海王	1518	wyie wyoie
舞曲	1518	ymhuh ymahuh
個人資料	1518	yoyisvvtt yoyisydvvtit yotoyisydvvtit
遙控	1517	dyzkqi dywzkquvi
建築面積	1517	ehzaatjoijtv ehzaaiatjonijtfdv
都難	1517	fphf fjbphoiyf
花卉	1517	hycth
白的	1517	jbja jbjba
我心	1517	jkqjlq jkqjlqq jkxqjlqq
打錯	1517	kjyfb kjyfvhb
取而代之	1517	nexjmyxqqz
發展戰略	1516	axrhkooqoto axrhkoobtqotxo ajqsxrhkoobtqotxo
珍貴的	1516	eyeqdvja eyeqdvjba
墓地	1516	hbffpl hbkffpl
要你	1516	ijym ihljysm
再寫	1516	iufqum iufquffm
新版本	1516	ivtkrxtji ivtrtkrxtjri
很愛	1516	jkwux jkwuwx jyekwuwx
而此時	1516	jmtlcba jmtlcbfa
批覆	1516	kccihx kccihjyx
妨礙	1516	ljsjoy ljisjocyy
女裝	1516	ljkfk ljkfijk
容忍	1516	quopjw quvyopjw
反響	1516	rxgqb rxgqegb
逮捕	1515	ekzkdq
總局	1515	gmwrco gmjowrco
落葉	1515	hwohht hwxohhlt
太重	1515	iajbf
說謊	1515	ioliol ioliohil iovoliohil
鬥志	1515	jejfw jeejfw
悲慘	1515	jewmge jeewmggge
我不敢	1515	jkqjqcnx jkqjqcnex jkxqjqcnex
透鏡	1515	jtzyfl jtpzyfvil
體育館	1515	ouvigdaeb ouduvigdaegqb
痘痘	1515	rovrov
遞增	1515	rrzfvb rrnzfvvb
反問	1515	rxppo
由於其	1515	ufisqhev ufisaqhev
剛從	1515	uvnjy uvwnjy uvwnjyyyy
假日	1515	yrxb yricxb
代號	1515	yxqosn yxqosrn
貓的	1514	djtja djjhtja djjhtjba
賬本	1514	dvktji dvfiktjri
練手	1514	gmvjij gmtvjij
專員	1514	ibaodv ibgaodv
就能把	1514	iqgckdl iomxqgdcckdl
站內	1514	ivouy ivtouy
一個合格	1514	iyoaotxo iyotoaotxo
心聲	1514	jlqfre jlqqfrnxe
捍衛	1514	kbfjyj kbfjydoj
指控	1514	kcbkqi kcbkquvi
被她	1514	qkxll qkrxll qkrxljpl
潛伏	1514	wfbykq wflfbykq
偏題	1514	yrhbfv yruhbfyjv
像樣的	1514	ysktkja ysojktkja ysojktveqkjba
印第安人	1513	epaajqujy epaasjquljy
其觀點	1513	hevholvo hevhooylvo hevhooylvfmto
花唄	1513	hycodv
就靠	1513	iqjfe iqjfoee iomxqjfoee
死前	1513	jacvdn
迫切	1513	jbzfp
自己找	1513	jdizkxq
砸錢	1513	jomyfq jocmyfvxq
打來	1513	kjtyy
實況	1513	qvwol qvwojl quotvwojl
有句話	1513	xdsoioo xdsoiojto
信件	1513	yioyjh
多聽	1512	aanew aaneetw
匕首	1512	cvji cvjdi
考試時	1512	fjsioqba fjsioiqba fjsioiqbfa
一般般	1512	ijuxjux ijuinxjuinx
新中國	1512	ivtqoq ivtrtqoq ivtrtqooxq
我爺爺	1512	jkqvxpvxp jkqvxnepvxnep jkxqvxnepvxnep
心理學家	1512	jlqebffiqk jlqqebffiqk jlqqebffxxfiqujk
不平等	1512	jqivtaaa jqivtaafa
置頂	1512	mtitjv mtueitjdv
圈錢	1512	ovzyfq oviyzyfvxq
降息	1512	pxhjdw
官宣	1512	qubqui qubqubi
密碼學	1512	quwjomfi quwjwjoshmfi quwjwjoshmfxxfi
深入研究	1512	wutjqjohquz wuvtjqjohquvjz
書桌	1511	efbtbt
學習方式	1511	fijibisiiq fijijibisiiq fxxfijijibisiiq
結束之後	1511	gmotoqzjx gmfotoqzjx gmfotoqzjygx
太不	1511	iajq
更多關於	1511	ibxaapphisq ibxaappgghisaq
一塊錢	1511	ifjgyfq ifjotgyfvxq
衣服的	1511	ijkdpxja ijkdpxjba
平方公里	1511	ivtisvgbf
大局	1511	iyrco
種族歧視	1511	jtfisktlxqml jtjbfisyyktltxqmdjl
情趣	1511	mfdftx mfdftynx
安全問題	1511	qujyeppobfv quljyeppobfyjv
古羅馬	1511	tomgfshm tomgmyfshm
十字	1511	tqui tqupi
用時	1511	uhba uhbfa
泥土	1511	wrcti
無意間	1511	ymmivwppb ymmivbwppb
愈合	1510	adwao adnwao
學識	1510	fiioq fiioivq fxxfiioivq
經濟條件	1510	gmiwidnxtyjh gmlliwiypdnxtyjh
英俊	1510	hukygx hukygvx
更準確	1510	ibxwytjof ibxwyiftjouyf
要選擇	1510	ijzzzkmf ijzzhvzkmevf ihljzzhvzkmevf
工作會議	1510	ijiykiabioq ijiykiabioveq ijiykiavbioveq
這股	1510	izdnx iozdnx
先了解	1510	jflpsuh jfjlpsuhph
很不錯了	1510	jkjqyfbp jkjqyfvhbp jyekjqyfvhbp
而她	1510	jmll jmljpl
叫作	1510	onyki
閒置	1510	ppdmti ppdmtuei
癒合	1510	rawao radnwao
樹葉	1510	tfahht tfovahhlt
分管	1510	vpaab vpaaqub
湧現	1510	wpjedl wpuhjedjl
人能	1510	ygc ygdcc
你不要	1510	ymjqij ysmjqihlj
都具有	1509	fpuevxd fjbpuevxd
政府採購	1509	flxryakwtdvf flxryakwtdvhuf
走過來	1509	ftyoztyy ftyouoztyy
欺詐	1509	heyioi hevsyioki
話筒	1509	iooaao iooaauo iojtoaauo
看得出	1509	jijyauw jijdijybauw
從句	1509	jyso jyyyyso
兩件	1509	myyyjh
歷史學家	1509	rjloxfiqk rjtjloxfiqk rjtjloxfxxfiqujk
整套	1509	tolkfg toxflkfig
愛着	1509	wuxvei wuwxvejdi
有難度	1509	xdhfrhx xdhoiyfrhx
老美	1508	fjcvek
夜色	1508	iyrsdl iyarsdl
碩士學位	1508	jovijifiyiv jojdvijifiyiv jojdvijifxxfiyiv
後輩	1508	jxjet jxjeebt jygxjeebt
慢跑	1508	mbxotz mbmxotlsz
省內	1508	mjiuy mjdiuy
僅憑	1508	yhfisw yhofishmw
表妹	1507	fjkljr fjkljhjr
言辭	1507	iowpf iowpugf
這一項	1507	iziijv iziijdv ioziijdv
這中間	1507	izqppb iozqppb
一陣子	1507	ipbtpi
音程	1507	ivbjte ivbjtoe
咖啡廳	1507	ocooeernw ocjooeerneew
字號	1507	quiosn qupiosrn
空位	1507	quiyiv quviyiv
東盟	1507	tbbdi tbbdmi
內力	1507	uycj
黑體	1507	vfmouv vfmouduv
海歸	1507	wyijbm wyoijbtlm
有效期	1507	xdivxhed xdivxxhevd
右邊的	1507	xojdzja xojdquzja xojdquzjba
各科	1507	xojtt xojtit
無條件	1507	ymmnxtyjh
學的是	1506	fijaby fxxfijbabfy
紙巾	1506	gmxuj gmcxuj
變壓器	1506	ioxrbfooo iogmxrbdkfookqo
找準	1506	kxqwyt kxqwyift
收購了	1506	nxdvfp nxdvhufp
強壯	1506	sggkf sgogkf
山脈	1506	wdrk
供貨	1506	yhvycv yhvycdv
保衛	1506	yotjyj yotjydoj
發過	1505	axoz ajqsxouoz
最主要	1505	bnxqeij bnexqeij bnexqeihlj
能不	1505	gcjq gdccjq
豪宅	1505	iokquf ioujkqujf
樂壇	1505	jbtfii jbggtfiooi
水下	1505	kf
接收到	1505	kijnxgn kivljnxgn kivljnxgfn
之大	1505	qziy
願你	1505	rjvym rjbmvym rjbmvysm
此生	1505	tlcjhi
汶川	1505	wixjn
在不	1505	xfjq
您對	1505	yswna ysmwna ysmwnvvea
明清	1504	bdwfd
至尊寶	1504	gfvhaquv gfvhiaqueyv
醜聞	1504	ihgppe ihijgppne
要了	1504	ijp ihljp
施展	1504	islrhk isyplrhk
夜店	1504	iyrrto iyarrto
自負	1504	jdisdv
鼻涕	1504	jdnwvj jdotnwvsj
提供商	1504	kbyyhvivo kbfyyhvivuvo
空閒	1504	quippd quvippd
此時此刻	1504	tlcbatlcign tlcbatlcigyn tlcbfatlcigyn
點數	1504	vobqx vobqljx vfmtobqljx
崑山	1504	wbcw wbccw
傷痛	1504	yyjrph yybsjrpuh
脂肪肝	1503	dcbdisdf
維繫	1503	gmfibm gmyifibwnm
總歸	1503	gmwjbm gmjowjbtlm
課本上	1503	iottjijii iobttjrijii
自己可以	1503	jdiziojlqy
換新	1503	kskivt ksuvkivtrt
靈動	1503	miijbj miioijbfcj
國有資產	1503	oqxdisvixf oqxdisydvixrjf ooxqxdisydvixrjf
法寶	1503	wfgquv wfgqueyv
愛她	1503	wuxll wuwxll wuwxljpl
最擅長	1502	bnxkiifik bnexkiooifik
趙敏	1502	ftdyox ftywdyoix
告誡	1502	jfoioq jfoiohxq
風向	1502	njgjuo njogjuo
戰死	1502	ooqjac oobtqjac
通知書	1502	puzykoefb puhzykoefb
實名	1502	qvao quotvao
李鴻章	1502	tpiwimivt tpiwijsmivbt
燃氣	1502	vymaqt vydkmaqvt
燃油	1502	vymwuf vydkmwuf
沉浸	1502	wunwex wunweux
又去	1502	xfg
左宗棠	1502	xiqumwut xiquimwuot
巴士	1501	dliji
天梯	1501	ixrtvj ixrtvsj
主要成分	1501	qeijrqvp qeihljrcxqvp
寶寶的	1501	quvquvja queyvqueyvja queyvqueyvjba
齒輪	1501	tluibh tlyyuibtah
在當前	1501	xfwutvdn xfwuootvdn
您是	1501	yswby ysmwby ysmwbfy
明基	1500	bdhef bdhevf
巴拉巴拉	1500	dlkivdlkiv
學習成績	1500	fijibrqgmv fijijibrqgmfdv fxxfijijibrcxqgmfdv
這個消息	1500	izyowwdjdw iozyotowwdjdw
武林外傳	1500	itqttaqyba itlqttaqybga
大力發展	1500	iycjaxrhk iycjajqsxrhk
快到	1500	mcygn mcygfn
吐血	1500	ofjmi
跨國	1500	otsoq otlksoq otlksooxq
具體內容	1500	uevouvuyquo uevouduvuyquvyo
首家	1500	vjiqk vjdiqk vjdiqujk
米其林	1500	vtrhevtt vtjrhevtt
在日常	1500	xfbwum xfbwuom
信息系統	1500	yiojdwjgmgml yiojdwjgmgmigl
考試成績	1499	fjsioqrqgmv fjsioiqrqgmfdv fjsioiqrcxqgmfdv
午休	1499	jfytr jfytjr
甜味	1499	jtiohq jtohiohjq
小三	1499	miii
房源	1499	riswrm riswrjbm
猛烈	1499	xjmjam xjpmjanm
全額	1499	yequv yequxov
債務人	1499	yfvppjy yfdvppjxjy
會所	1498	abrrt avbrrt
現在還在	1498	edlxfmzxf edjlxfmzxf edjlxfmiojzxf
幫大家	1498	fimiyqk fiajmiyqk fiajmiyqujk
參股	1498	ggednx gggyednx
要緊	1498	ijckm ijckxgm ihljckxgm
三體人	1498	iiiouvy iiiouduvy
這世上	1498	izhljii iozhljii
再補	1498	iufqkq iufqkdq
商會	1498	ivoab ivuvoab ivuvoavb
不花錢	1498	jqhycyfq jqhycyfvxq
不得已	1498	jqjyacl jqjybacl
如何應對	1498	ljoyojrywna ljoyojryyiwnvvea
聽他	1498	newyl neetwyl neetwypl
卻說	1498	vypiol vyopiol vyopiovol
沒收	1498	wxnx wsxnx
作物	1498	ykijhj ykijhsj
量大	1497	bbfiy
最成功	1497	bnxrqicj bnexrqicj bnexrcxqicj
司考	1497	cofjs
長安大學	1497	fikqujiyfi fikquljiyfi fikquljiyfxxfi
英語聽力	1497	hukioonewcj hukiodoneetwcj
二個	1497	iiyo iiyoto
上會	1497	jiiab jiiavb
很生氣	1497	jkjhiaqt jkjhiaqvt jyekjhiaqvt
我可	1497	jkqioj jkxqioj
我當然	1497	jkqwutdm jkqwuootdm jkxqwuootdkqm
只要把	1497	ovijkdl ovihljkdl
瘦了	1497	rfxp rfftxp
彈琴	1497	soteej soobteeaj
糖果	1497	vtobt vtreobt
在京	1497	xfiom
明朗	1496	bdqed bdqegd
購置	1496	dvfmti dvhufmtuei
財務報表	1496	dvjppjfvxfjk dvtjppjxjfvfpxfjk
建立健全	1496	ehzivyezye ehzivyehzye
能看見	1496	gcjidjl gdccjijdidjl
辦公樓	1496	ivfvgtbj ivxcfvgtbqlj
不難發現	1496	jqhfaxedl jqhfaxedjl jqhoiyfajqsxedjl
不錯啊	1496	jqyfbopj jqyfvhbopoj
從根本上	1496	jytektjijii jytektjrijii jyyyytektjrijii
少於	1496	mjisq mjisaq
怪異	1496	mxfotv mxfothv
陳凱歌	1496	ptbwonioy ptbwovnioojy
東京奧運	1496	tbiomjukubz tbiomjujvkubtz
卡路里	1496	tfotobf tfotlxobf
分析方法	1496	vptrtiswfg
粉紅	1496	vtpgmi vtvpgmi
光彩	1496	wjlwte
獨立思考	1496	xjgivotwfjs xjmsgivotwfjs
個人空間	1496	yoyquippb yoyquvippb yotoyquvippb
名譽	1495	aofso aofsfvo
最頂尖	1495	bnxtjvmk bnextjdvmk
建倉	1495	ehzaro
都這麼	1495	fpizrg fjbpiozrttg
三百	1495	iiiijb
該機	1495	ioytgq ioytggjq ioigytggjq
可悲	1495	iojjew iojjeew
裝上	1495	kfkjii kfijkjii
好快	1495	limcy ljpimcy
四五	1495	miid
足矣	1495	otygyk
客戶提供	1495	quoqrkbyyhv quxoqrkbfyyhv
本機	1495	tjitgq tjritggjq
此案	1495	tlcqut tlcquljt
漂浮	1495	whmwwi whemwwpi
洗漱	1495	wjlwty wjfjlwtosy
算什麼	1494	aahytrg aadhytrg aadhytrttg
最終結果	1494	bnxgmigmobt bnexgmxigmfobt
老兵	1494	fjcjkv
緣由	1494	gmkuf gmgjkuf
工商局	1494	ijiivorco ijiivuvorco
頭的	1494	iovja iovjvja iovjvjba
生硬	1494	jhijox jhijobx
利空	1494	jtnqui jtnquvi
吊頂	1494	omtjv omtjdv
獻血	1494	roqjmi rouvqjmi
概論	1494	telioh tegxlioauh
十天	1494	tixr
道家	1494	vzqk vjdzqujk
並且還	1494	vnvuemz vnvuemiojz
營業額	1494	vyonvrquv vyvyonvvhrquxov
滄桑	1494	waoxxt waroxxxt
滾石	1494	wikjo wivokjo
在早期	1494	xfbthed xfbthevd
布朗	1494	xmqed xmqegd
金華	1494	yfvhhh
停藥	1494	yijhjt yioujhjbgt
時裝	1493	bakfk bakfijk bfakfijk
戒菸	1493	ihqhiq ihxqhisaq
再回來	1493	iufootyy
上不了	1493	jiijqp
獨行俠	1493	xjgjjyky xjmsgjjykyy xjmsgjyijykyy
然後說	1492	dmjxiol dkqmjygxiovol
刊物	1492	fnjhj fnjhsj
草根	1492	hbttek
莊子	1492	hkfpi
再給	1492	iufgmo iufgmao
升到	1492	jhgn jhgfn
情色	1492	mfdsdl
爬到	1492	rrlgn rrdlgn rrdlgfn
燈塔	1492	vyvfho vyajvfhao
洗衣服	1492	wjlijkdpx wjfjlijkdpx
